Subject,Rel,Object
% Confidence,CMT-PRO,CI
% Confidence,CMT-PRO,Cis
% Confidence,CMT-PRO,Hazard Ratio
% Confidence,CMT-PRO,Intervals
% Confidence,CMT-PRO,Odds Ratio
% Elongation,PRO-DSC,Alloy
% Elongation,PRO-PRO,Hardness
% Elongation,PRO-PRO,Mechanical Property
% Elongation,PRO-PRO,Microstructure
% Elongation,PRO-CMT,SEM
% Elongation,PRO-PRO,Tensile Strength
% Elongation,PRO-PRO,UTS
's Function,CMT-PRO,Green
's Function,CMT-PRO,Green's Function
(+)-DET,CHM-CHM,CH2Cl2
(+)-DET,CHM-CHM,THF
(+)-DIPT,CHM-CHM,CH2Cl2
(+)-DIPT,CHM-CHM,Et3N
(+)-DIPT,CHM-CHM,MeOH
(+)-DIPT,CHM-CHM,THF
(+)-DIPT,CHM-CHM,Ti(OiPr)4
(-)-Epigallocatechin Gallate,CHM-CHM,EGCG
(-)-Epigallocatechin-3-Gallate,CHM-CHM,EGCG
(0 0 0 1) Substrates,CHM-CHM,Sapphire
(0 0 0 1) Substrates,CHM-DSC,Substrate
(0 0 2) Plane,CHM-DSC,Films
(0 0 2) Plane,CHM-DSC,Substrate
(0 0 2) Plane,CHM-CHM,ZnO
-1,DSC-DSC,Film
-1,DSC-DSC,Films
-1,DSC-DSC,Layers
-1,DSC-DSC,Substrate
-1,DSC-DSC,Surface
(001) Surface,DSC-CHM,O
(001) Surface,DSC-DSC,Surface
(001)-SrTiO3,CHM-DSC,Films
(001)-SrTiO3,CHM-DSC,Substrate
(100) Substrate,DSC-CMT,AFM
(100) Substrate,DSC-DSC,Film
(100) Substrate,DSC-DSC,Films
(100) Substrate,DSC-CMT,SEM
(100) Substrate,DSC-CHM,Si
(100) Substrate,DSC-DSC,Substrate
(100) Substrate,DSC-DSC,Thin Films
(100) Substrate,DSC-CMT,XRD
(100) Surface,DSC-CHM,O
(100) Surface,DSC-DSC,Substrate
(100) Surface,DSC-DSC,Surface
(110) Surface,DSC-DSC,Surface
(111) Surface,DSC-DSC,Surface
(111)Pt,CHM-CHM,SiO2
(111)Pt,CHM-DSC,Substrate
(111)Pt,CHM-DSC,Thin Films
(1 0 0) Plane,CHM-CHM,1000
(2D) Transition-Metal Dichalcogenides,CHM-DSC,2D
(2D) Transition-Metal Dichalcogenides,CHM-DSC,Two-Dimensional
(A)Al2O3,CHM-CHM,Al2O3
(A)Al2O3,CHM-APL,Catalyst
(A)Al2O3,CHM-CMT,SEM
(A)Al2O3,CHM-CMT,TEM
(A)Al2O3,CHM-CMT,XRD
(B) 1H,CHM-CHM,(C) 1H
(B) 1H,CHM-CHM,(D) 1H
(B) 1H,CHM-CHM,13C
(B) 1H,CHM-CMT,13C NMR
(B) 1H,CHM-CHM,1H
(B) 1H,CHM-CMT,1H NMR
(B) 1H,CHM-CMT,1H-NMR
(B) 1H,CHM-CMT,AFM
(B) 1H,CHM-PRO,Absorbance
(B) 1H,CHM-CMT,Absorption Spectrum
(B) 1H,CHM-CHM,Acetone
(B) 1H,CHM-CHM,Acetonitrile
(B) 1H,CHM-PRO,Body Weight
(B) 1H,CHM-CHM,CDCl3
(B) 1H,CHM-CMT,CLSM
(B) 1H,CHM-CHM,Carbon
(B) 1H,CHM-APL,Catalyst
(B) 1H,CHM-PRO,Cell Viability
(B) 1H,CHM-DSC,Cells
(B) 1H,CHM-PRO,Cellular Uptake
(B) 1H,CHM-PRO,Chemical Shift
(B) 1H,CHM-PRO,Chemical Structures
(B) 1H,CHM-PRO,Compositions
(B) 1H,CHM-DSC,Copolymer
(B) 1H,CHM-CMT,Cyclic Voltamogram
(B) 1H,CHM-PRO,Cytotoxicity
(B) 1H,CHM-CHM,D2O
(B) 1H,CHM-CHM,DAPI
(B) 1H,CHM-CMT,DLS
(B) 1H,CHM-CHM,DMF
(B) 1H,CHM-CHM,DMSO
(B) 1H,CHM-CHM,DMSO-D6
(B) 1H,CHM-CHM,DOX
(B) 1H,CHM-CMT,DSC
(B) 1H,CHM-APL,Electrodes
(B) 1H,CHM-CHM,Ethanol
(B) 1H,CHM-CHM,FITC
(B) 1H,CHM-CMT,FT-IR
(B) 1H,CHM-CMT,FTIR
(B) 1H,CHM-DSC,Film
(B) 1H,CHM-DSC,Films
(B) 1H,CHM-CMT,Flow Cytometry
(B) 1H,CHM-CMT,Fluorescence
(B) 1H,CHM-PRO,Fluorescence
(B) 1H,CHM-CMT,Fluorescence Image
(B) 1H,CHM-PRO,Fluorescence Intensity
(B) 1H,CHM-CMT,Fluorescence Microscopy
(B) 1H,CHM-CMT,GPC
(B) 1H,CHM-CHM,GSH
(B) 1H,CHM-CHM,H2O
(B) 1H,CHM-SMT,Heating
(B) 1H,CHM-DSC,Hydrogel
(B) 1H,CHM-CHM,Hydrogen
(B) 1H,CHM-SMT,Irradiation
(B) 1H,CHM-CHM,MTT
(B) 1H,CHM-CMT,MTT Assay
(B) 1H,CHM-CHM,Methanol
(B) 1H,CHM-DSC,Micelles
(B) 1H,CHM-PRO,Molecular Structure
(B) 1H,CHM-PRO,Molecular Weight
(B) 1H,CHM-PRO,Morphology
(B) 1H,CHM-CHM,N2
(B) 1H,CHM-CMT,NMR
(B) 1H,CHM-DSC,NPS
(B) 1H,CHM-CHM,NaCl
(B) 1H,CHM-DSC,Nanoparticle
(B) 1H,CHM-CHM,Nitrogen
(B) 1H,CHM-CHM,O
(B) 1H,CHM-CHM,Oxygen
(B) 1H,CHM-CHM,PEG
(B) 1H,CHM-PRO,Particle Size
(B) 1H,CHM-PRO,Particle Size Distribution
(B) 1H,CHM-CHM,Phosphate
(B) 1H,CHM-CMT,SEM
(B) 1H,CHM-PRO,Size Distribution
(B) 1H,CHM-PRO,Stability
